date,room_number,room_type,capacity,bed_count,bed_size,price,discount_rate,stay_status,bar_rate,currency,season,day_of_week,demand_level,event_flag,min_los,rate_plan,channel,market_segment,booking_lead_time_days,simulated_target_occupancy_pct
2024-06-06,306,Standard Two Queen,4,2,Two Queen,459.00,0.04,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,51,83.0
2024-06-06,307,Standard Two Queen,4,2,Two Queen,459.00,0.04,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,13,83.0
2024-06-06,308,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,21,83.0
2024-06-06,309,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,68,83.0
2024-06-06,310,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,72,83.0
2024-06-06,311,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,59,83.0
2024-06-06,312,Standard Two Queen,4,2,Two Queen,449.00,0.06,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,14,83.0
2024-06-06,313,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,31,83.0
2024-06-06,314,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,36,83.0
2024-06-06,315,Standard Two Queen,4,2,Two Queen,449.00,0.05,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,103,83.0
2024-06-06,316,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,80,83.0
2024-06-06,317,Standard Two Queen,4,2,Two Queen,469.00,0.00,occupied,469.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,60,83.0
2024-06-06,318,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,85,83.0
2024-06-06,319,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,62,83.0
2024-06-06,401,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,124,83.0
2024-06-06,402,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,19,83.0
2024-06-06,403,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,117,83.0
2024-06-06,404,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,83,83.0
2024-06-06,405,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,69,83.0
2024-06-06,406,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,38,83.0
2024-06-06,407,Ocean View King,2,1,King,559.00,0.00,vacant,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,408,Ocean View King,2,1,King,539.00,0.04,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,19,83.0
2024-06-06,409,Ocean View King,2,1,King,539.00,0.04,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,77,83.0
2024-06-06,410,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,83,83.0
2024-06-06,411,Ocean View King,2,1,King,559.00,0.00,vacant,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,412,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,44,83.0
2024-06-06,413,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,120,83.0
2024-06-06,414,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,15,83.0
2024-06-06,415,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,100,83.0
2024-06-06,416,Ocean View King,2,1,King,529.00,0.06,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,20,83.0
2024-06-06,417,Ocean View King,2,1,King,499.00,0.12,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,GROUP_CONTRACT,Group,Group,244,83.0
2024-06-06,418,Ocean View King,2,1,King,539.00,0.04,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,119,83.0
2024-06-06,419,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,25,83.0
2024-06-06,501,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,66,83.0
2024-06-06,502,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,129,83.0
2024-06-06,503,Ocean View King,2,1,King,539.00,0.04,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,17,83.0
2024-06-06,504,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,67,83.0
2024-06-06,505,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,14,83.0
2024-06-06,506,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,128,83.0
2024-06-06,507,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,74,83.0
2024-06-06,508,Ocean View King,2,1,King,559.00,0.00,vacant,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,509,Ocean View King,2,1,King,529.00,0.06,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,54,83.0
2024-06-06,510,Ocean View King,2,1,King,529.00,0.06,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,32,83.0
2024-06-06,511,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,95,83.0
2024-06-06,512,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,66,83.0
2024-06-06,513,Ocean View King,2,1,King,539.00,0.05,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,98,83.0
2024-06-06,514,Ocean View King,2,1,King,529.00,0.06,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,43,83.0
2024-06-06,515,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,16,83.0
2024-06-06,516,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,89,83.0
2024-06-06,517,Ocean View King,2,1,King,559.00,0.00,occupied,559.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,30,83.0
2024-06-06,518,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,601,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,602,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,92,83.0
2024-06-06,603,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,11,83.0
2024-06-06,604,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,66,83.0
2024-06-06,605,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,55,83.0
2024-06-06,606,Ocean View Two Queen,4,2,Two Queen,549.00,0.12,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,GROUP_CONTRACT,Group,Group,83,83.0
2024-06-06,607,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,10,83.0
2024-06-06,608,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,609,Ocean View Two Queen,4,2,Two Queen,589.00,0.06,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,37,83.0
2024-06-06,610,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,611,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,612,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,39,83.0
2024-06-06,613,Ocean View Two Queen,4,2,Two Queen,589.00,0.06,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,25,83.0
2024-06-06,614,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,62,83.0
2024-06-06,615,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,99,83.0
2024-06-06,616,Ocean View Two Queen,4,2,Two Queen,599.00,0.04,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,19,83.0
2024-06-06,617,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,15,83.0
2024-06-06,618,Ocean View Two Queen,4,2,Two Queen,589.00,0.05,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,58,83.0
2024-06-06,701,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,120,83.0
2024-06-06,702,Ocean View Two Queen,4,2,Two Queen,599.00,0.04,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,60,83.0
2024-06-06,703,Ocean View Two Queen,4,2,Two Queen,589.00,0.05,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,102,83.0
2024-06-06,704,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,56,83.0
2024-06-06,705,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,119,83.0
2024-06-06,706,Ocean View Two Queen,4,2,Two Queen,599.00,0.04,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,46,83.0
2024-06-06,707,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,107,83.0
2024-06-06,708,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,29,83.0
2024-06-06,709,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,46,83.0
2024-06-06,710,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,711,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,123,83.0
2024-06-06,712,Ocean View Two Queen,4,2,Two Queen,589.00,0.05,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,91,83.0
2024-06-06,713,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,129,83.0
2024-06-06,714,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,91,83.0
2024-06-06,715,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,44,83.0
2024-06-06,716,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,73,83.0
2024-06-06,717,Ocean View Two Queen,4,2,Two Queen,599.00,0.04,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,109,83.0
2024-06-06,718,Ocean View Two Queen,4,2,Two Queen,589.00,0.05,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,19,83.0
2024-06-06,801,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,76,83.0
2024-06-06,802,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,44,83.0
2024-06-06,803,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,86,83.0
2024-06-06,804,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,occupied,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,43,83.0
2024-06-06,805,Ocean View Two Queen,4,2,Two Queen,619.00,0.00,vacant,619.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,806,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,120,83.0
2024-06-06,807,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,81,83.0
2024-06-06,808,Beachfront King,2,1,King,679.00,0.05,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,121,83.0
2024-06-06,809,Beachfront King,2,1,King,679.00,0.05,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,23,83.0
2024-06-06,810,Beachfront King,2,1,King,669.00,0.06,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,66,83.0
2024-06-06,811,Beachfront King,2,1,King,689.00,0.04,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,63,83.0
2024-06-06,812,Beachfront King,2,1,King,709.00,0.00,vacant,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,813,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,102,83.0
2024-06-06,814,Beachfront King,2,1,King,689.00,0.04,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,123,83.0
2024-06-06,815,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,78,83.0
2024-06-06,816,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,43,83.0
2024-06-06,817,Beachfront King,2,1,King,689.00,0.04,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,22,83.0
2024-06-06,818,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,68,83.0
2024-06-06,901,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,55,83.0
2024-06-06,902,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,96,83.0
2024-06-06,903,Beachfront King,2,1,King,669.00,0.06,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,54,83.0
2024-06-06,904,Beachfront King,2,1,King,709.00,0.00,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,31,83.0
2024-06-06,905,Beachfront King,2,1,King,709.00,0.00,vacant,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,906,Beachfront King,2,1,King,689.00,0.04,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,92,83.0
2024-06-06,907,Beachfront King,2,1,King,679.00,0.05,occupied,709.00,USD,Peak Summer,Thursday,High,Summer Peak,1,OTA_RETAIL,OTA,Leisure Transient,126,83.0
2024-06-06,908,Beachfront Two Queen,4,2,Two Queen,719.00,0.06,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,43,83.0
2024-06-06,909,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,97,83.0
2024-06-06,910,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,vacant,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Available Inventory,,83.0
2024-06-06,911,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,28,83.0
2024-06-06,912,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,121,83.0
2024-06-06,913,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,118,83.0
2024-06-06,914,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,84,83.0
2024-06-06,915,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,77,83.0
2024-06-06,916,Beachfront Two Queen,4,2,Two Queen,729.00,0.04,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,108,83.0
2024-06-06,917,Beachfront Two Queen,4,2,Two Queen,729.00,0.04,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,22,83.0
2024-06-06,918,Beachfront Two Queen,4,2,Two Queen,719.00,0.06,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,PACKAGE,Direct,Leisure Package,37,83.0
2024-06-06,1001,Beachfront Two Queen,4,2,Two Queen,729.00,0.04,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,17,83.0
2024-06-06,1002,Beachfront Two Queen,4,2,Two Queen,759.00,0.00,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,BAR,Direct,Leisure Transient,93,83.0
2024-06-06,1003,Beachfront Two Queen,4,2,Two Queen,729.00,0.04,occupied,759.00,USD,Peak Summer,Thursday,High,Summer Peak,1,DIRECT_MEMBER,Direct,Leisure Transient,127,83.0
